Date Time(UTC), ,Priority,Application, ,Message,Code, , ,Status
2024-03-23T11:07:51.053000+00:00,"","info","Output Group 1","","Sequential shutdown canceled","00001016","","","Closed"
2024-03-23T11:07:50.937000+00:00,"","info","Output","","Sequential shutdown canceled","00001016","","","Closed"
2024-03-23T11:07:48.740000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Bypass phase out range","00000200","","","Open"
2024-03-23T11:07:48.314000+00:00,"","info","Output Group 2","","Sequential shutdown scheduled","00001016","","","Open"
2024-03-23T11:07:48.192000+00:00,"","info","Output Group 1","","Sequential shutdown scheduled","00001016","","","Open"
2024-03-23T11:07:47.970000+00:00,"","info","Output","","Sequential shutdown scheduled","00001016","","","Open"
2024-03-23T11:07:47.657000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Battery discharging","00000603","","","Open"
2024-03-23T11:07:45.118000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Bypass phase in range","00000200","","","Closed"
2024-03-23T11:07:44.803000+00:00,"","info","Output Group 2","","Sequential shutdown canceled","00001016","","","Closed"
2024-03-23T11:07:44.785000+00:00,"","info","Output Group 1","","Sequential shutdown canceled","00001016","","","Closed"
2024-03-23T11:07:44.673000+00:00,"","info","Output","","Sequential shutdown canceled","00001016","","","Closed"
2024-03-23T11:07:44.209000+00:00,"","warning","Eaton 9PX3000i RT 2U","","End of UPS battery discharge","00000603","","","Closed"
2024-03-23T11:07:42.253000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Bypass voltage in range","00000209","","","Closed"
2024-03-23T11:07:42.080000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Bypass available","00000201","","","Closed"
2024-03-23T11:07:42.057000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Bypass frequency in range","00000206","","","Closed"
2024-03-23T11:07:41.904000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Input AC present","00000106","","","Closed"
2024-03-23T11:07:41.530000+00:00,"","info","Output Group 2","","Sequential shutdown scheduled","00001016","","","Open"
2024-03-23T11:07:41.438000+00:00,"","info","Output Group 1","","Sequential shutdown scheduled","00001016","","","Open"
2024-03-23T11:07:41.265000+00:00,"","info","Output","","Sequential shutdown scheduled","00001016","","","Open"
2024-03-23T11:07:40.931000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Battery discharging","00000603","","","Open"
2024-03-23T11:07:38.753000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Bypass voltage out of range","00000209","","","Open"
2024-03-23T11:07:38.581000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Bypass phase out range","00000200","","","Open"
2024-03-23T11:07:38.524000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Bypass not available","00000201","","","Open"
2024-03-23T11:07:38.492000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Bypass frequency out of range","00000206","","","Open"
2024-03-23T11:07:38.283000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Input AC not present","00000106","","","Open"
2024-03-22T11:30:38.984000+00:00,"","info","Output Group 2","","Sequential shutdown canceled","00001016","","","Closed"
2024-03-22T11:30:38.973000+00:00,"","info","Output Group 1","","Sequential shutdown canceled","00001016","","","Closed"
2024-03-22T11:30:38.830000+00:00,"","info","Output","","Sequential shutdown canceled","00001016","","","Closed"
2024-03-22T11:30:38.470000+00:00,"","warning","Eaton 9PX3000i RT 2U","","End of UPS battery discharge","00000603","","","Closed"
2024-03-22T11:30:36.732000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Bypass phase in range","00000200","","","Closed"
