filename,dte,burst_pressure_hPa,tco_shadoz,tco_shadoz_recalc,tco_shadoz_cams,tco_shadoz_recalc_cams
nairobi_20030813T07_SHADOZV06.dat,2003-08-13,3.9600000381469727,245.05999755859375,244.6026440540171,257.84905892801,257.39170542343334
nairobi_20030820T07_SHADOZV06.dat,2003-08-20,6.400000095367432,217.66000366210938,217.25726078811783,246.96866140693317,246.56591853294162
nairobi_20030827T07_SHADOZV06.dat,2003-08-27,4.25,244.8699951171875,244.4196849031513,259.4339823618321,258.9836721477959
nairobi_20030903T07_SHADOZV06.dat,2003-09-03,5.050000190734863,241.25999450683594,240.8030597433625,260.5617967895743,260.1048620261009
nairobi_20030910T07_SHADOZV06.dat,2003-09-10,4.739999771118164,242.77000427246094,242.31030374060978,260.03771347871714,259.578012946866
nairobi_20030917T07_SHADOZV06.dat,2003-09-17,90.95999908447266,32.5,32.43689362422754,264.5113944615133,264.44828808574084
nairobi_20030924T07_SHADOZV06.dat,2003-09-24,4.880000114440918,246.52000427246094,246.06084155178252,264.6985994479564,264.23943672727796
nairobi_20031001T07_SHADOZV06.dat,2003-10-01,91.56999969482422,33.16999816894531,33.10998746574019,264.59622378419454,264.5362130809894
nairobi_20031008T07_SHADOZV06.dat,2003-10-08,4.039999961853027,253.47000122070312,253.00274891155254,266.13484817370255,265.66759586455197
nairobi_20031015T07_SHADOZV06.dat,2003-10-15,92.2699966430664,31.049999237060547,30.996550901976896,262.47622485230977,262.4227765172261
nairobi_20031022T07_SHADOZV06.dat,2003-10-22,4.449999809265137,234.47000122070312,234.02673019492323,249.58000133622338,249.13673031044348
nairobi_20031029T07_SHADOZV06.dat,2003-10-29,4.829999923706055,230.83999633789062,230.40819661103004,248.3215798454746,247.889780118614
nairobi_20031112T07_SHADOZV06.dat,2003-11-12,91.44000244140625,31.209999084472656,31.154667509068908,257.68037076447166,257.62503918906793
nairobi_20031119T07_SHADOZV06.dat,2003-11-19,5.309999942779541,225.0,224.58268799193576,245.2472866818661,244.82997467380184
nairobi_20031128T08_SHADOZV06.dat,2003-11-28,4.260000228881836,232.4600067138672,232.02131410551266,246.25869395692789,245.82000134857336
nairobi_20031203T07_SHADOZV06.dat,2003-12-03,5.059999942779541,224.8800048828125,224.46197282724273,245.51642356477703,245.09839150920726
nairobi_20031210T07_SHADOZV06.dat,2003-12-10,4.110000133514404,227.5399932861328,227.1123335026267,241.9976196924936,241.5699599089875
nairobi_20031217T08_SHADOZV06.dat,2003-12-17,5.630000114440918,215.8800048828125,215.59023765277993,240.4101182091076,240.12035097907503
nairobi_20031218T08_SHADOZV06.dat,2003-12-18,4.659999847412109,231.97000122070312,231.53374110722126,249.94963777836375,249.5133776648819
nairobi_20031219T08_SHADOZV06.dat,2003-12-19,38.220001220703125,51.83000183105469,51.73855922394026,248.79593585542935,248.70449324831492
nairobi_20031224T07_SHADOZV06.dat,2003-12-24,4.019999980926514,241.0800018310547,240.59750778713823,254.97807889518037,254.4955848512639
nairobi_20031231T07_SHADOZV06.dat,2003-12-31,4.28000020980835,234.25999450683594,233.8280192051038,249.78796146400325,249.3559861622711
nairobi_20040114T07_SHADOZV06.dat,2004-01-14,3.9000000953674316,231.11000061035156,230.68121869943587,242.80203251888625,242.37325060797056
nairobi_20040121T09_SHADOZV06.dat,2004-01-21,4.510000228881836,215.4199981689453,214.82435769933218,232.29784778179507,231.70220731218194
nairobi_20040128T08_SHADOZV06.dat,2004-01-28,4.650000095367432,245.08999633789062,244.63081532983446,262.87479085410075,262.4156098460446
nairobi_20040204T07_SHADOZV06.dat,2004-02-04,4.550000190734863,229.6300048828125,229.31289329680007,246.18132283290203,245.8642112468896
nairobi_20040211T07_SHADOZV06.dat,2004-02-11,6.079999923706055,214.99000549316406,214.59383474771175,242.08913390842994,241.69296316297763
nairobi_20040218T08_SHADOZV06.dat,2004-02-18,13.680000305175781,168.99000549316406,168.7811452304766,252.5503173520126,252.3414570893251
nairobi_20040225T07_SHADOZV06.dat,2004-02-25,5.159999847412109,230.39999389648438,230.14161912402272,251.03261589105819,250.77424111859654
nairobi_20040303T08_SHADOZV06.dat,2004-03-03,5.039999961853027,236.33999633789062,235.89476910919117,255.2118766528649,254.76664942416545
nairobi_20040310T07_SHADOZV06.dat,2004-03-10,10.119999885559082,185.85000610351562,185.5249389929857,242.02524240820532,241.7001752976754
