aurora_id,aurora_name,cpd2_id,cpd2_description,mkndaq_id
1,Date & Time,dtm,Date String (YYYY-MM-DDThh:mm:ssZ),column_1
,,P1_S11,Pressure on AIR run (hPa)
,,P2_S11,Pressure on CO2 run (hPa)
,,U1_S11,RH on AIR run (percent)
,,U2_S11,RH on CO2 run (percent)
,,Csp1B_S11,Sample count frequency on AIR run blue
,,Csp1G_S11,Sample count frequency on AIR run green
,,Csp1R_S11,Sample count frequency on AIR run red
,,Csp2B_S11,Sample count frequency on CO2 run blue
,,Csp2G_S11,Sample count frequency on CO2 run green
,,Csp2R_S11,Sample count frequency on CO2 run red
,,STN,Station ID code
F1_S11,,F1_S11,System flags
,,T3_S11,Temperature on AIR run (C)
,,T4_S11,Temperature on CO2 run (C)
station,,STN,
epoch,,EPOCH
