column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10,column_11,column_12,column_13,column_14,column_15,column_16,column_17,column_18,column_19,column_20,column_21,column_22,column_23,column_24,column_25,column_26,column_27,column_28,column_29,column_30,column_31,column_32,column_33,column_34,column_35,column_36,column_37,column_38,column_39,column_40,column_41,column_42,column_43,column_44,column_45,column_46,column_47,column_48
2024-07-20T04:40:00.000000,2.87873,5.27283,5.74675,1.06365,1.08374,0.75735,3.12431,5.13663,6.49165,0.69796,0.88115,0.9362,0.00953,0.00992,0.01213,0.00705,0.00687,0.00799,0.0095,0.00994,0.01219,0.00708,0.0069,0.008,27.27999,658.87,23.09,26.63,662.52002,233.3371,233.3371,233.3371,1645060.0,1973854.0,1449767.0,14980.69043,18998.57031,17503.08008,11101.9502,13030.20996,11914.92969,18.33252,19.8664,5.03009,0.0,b'\x00\x00\x00',60
2024-07-20T04:43:00.000000,2.77725,4.44242,6.70605,0.79469,1.02818,0.71657,3.119,5.06301,6.48612,0.67943,0.89496,0.94491,0.00963,0.0099,0.01218,0.00707,0.00694,0.00804,0.0095,0.00993,0.01219,0.00707,0.00691,0.00801,27.29,658.87,23.04,26.64001,662.58002,240.004,240.004,240.004,1642464.0,1974132.0,1450739.0,15187.7998,18669.36914,17914.09961,11162.0498,13157.11035,11771.36035,18.31055,20.06628,5.018,0.0,b'\x00\x00\x00',60
2024-07-20T04:55:00.000000,14.50284,22.52889,34.68917,2.66737,3.54173,3.78727,14.00986,22.96025,28.31476,2.61749,3.4729,3.87918,0.01181,0.0135,0.01695,0.00739,0.00734,0.00858,0.01131,0.01272,0.01587,0.00731,0.00724,0.00845,27.33999,659.0,23.23,26.74002,662.65997,200.00281,200.00281,200.00281,1643764.0,1973745.0,1448720.0,18836.4707,25411.78906,24011.96094,11824.78027,14149.0,12312.26953,18.43506,20.06628,4.98084,0.0,b'\x00\x00\x00',60
2024-07-20T04:31:00.000000,3.46921,5.15653,6.82019,0.23806,0.90524,0.76729,3.15323,5.23698,6.75912,0.61913,0.92762,0.95333,0.00947,0.00993,0.01214,0.0071,0.00695,0.00799,0.00951,0.00996,0.01224,0.00707,0.00691,0.00801,27.27001,658.72998,22.03,26.57,662.35999,190.0025,233.3371,233.3371,1643269.0,1973258.0,1449053.0,15064.2002,18607.53906,17379.44922,11322.2998,13372.50977,11908.25,18.21533,20.15194,5.00687,0.0,b'\x00\x00\x00',60
2024-07-20T04:34:00.000000,2.44015,4.66578,6.06378,0.65672,0.67131,0.72127,3.11834,5.18169,6.67991,0.62794,0.89046,0.94722,0.00955,0.00988,0.01229,0.0071,0.00689,0.00804,0.0095,0.00995,0.01223,0.00707,0.00691,0.00801,27.27999,658.76001,22.75,26.55001,662.46002,213.3365,213.3365,213.3365,1645608.0,1975054.0,1449911.0,15072.5498,19045.35938,18154.71094,11101.9502,13297.37012,11811.41992,18.43506,19.72363,5.00657,0.0,b'\x00\x00\x00',60
2024-07-20T04:47:00.000000,2.76488,4.70591,6.79006,0.46146,0.7888,0.97391,3.0818,5.02552,6.46097,0.64061,0.89592,0.9522,0.00951,0.00995,0.01224,0.00706,0.00692,0.00803,0.0095,0.00993,0.01219,0.00707,0.00691,0.00801,27.30001,658.92999,22.58,26.66,662.59003,190.0025,190.0025,190.0025,1645917.0,1978157.0,1451155.0,15147.70996,19118.89062,17640.08984,11257.2002,13516.11035,11701.24023,18.28857,20.20905,5.02981,0.0,b'\x00\x00\x00',60
2024-07-20T04:45:00.000000,2.6627,5.0406,6.52874,0.41216,1.01986,0.85159,3.09449,5.03866,6.45422,0.65398,0.89877,0.94306,0.0095,0.00986,0.01208,0.00705,0.0069,0.00802,0.0095,0.00993,0.01219,0.00707,0.00691,0.00801,27.30001,658.87,22.69,26.64999,662.70001,193.33591,193.33591,193.33591,1641781.0,1977829.0,1453138.0,15110.96973,18938.41016,17267.50977,11070.24023,13290.69043,11457.50977,18.36914,19.92351,5.00608,0.0,b'\x00\x00\x00',60
2024-07-20T04:41:00.000000,3.31483,4.99125,6.12187,0.20634,0.58556,0.81417,3.09287,5.11271,6.47544,0.67411,0.86777,0.94289,0.0094,0.00988,0.01214,0.00702,0.00687,0.00803,0.0095,0.00994,0.01219,0.00707,0.0069,0.00801,27.29,658.85999,23.27,26.63,662.58002,236.67059,236.67059,236.67059,1643649.0,1974987.0,1449054.0,15126.0,18644.30078,17738.66016,11302.26953,13021.86035,11742.98047,18.33252,20.00917,4.98755,0.0,b'\x00\x00\x00',60
2024-07-20T04:46:00.000000,3.12583,4.70531,5.80303,0.46128,0.84239,1.02063,3.07666,5.02226,6.43994,0.64367,0.89245,0.94373,0.00944,0.00988,0.01217,0.00705,0.00689,0.00801,0.00949,0.00993,0.01219,0.00707,0.00691,0.00801,27.30001,658.96002,22.74,26.66,662.60999,250.00439,250.00439,230.00369,1642333.0,1977391.0,1450278.0,14686.75,19240.88086,17842.25977,11273.88965,13277.33008,11751.33008,18.14209,19.75218,5.01134,0.0,b'\x00\x00\x00',60
2024-07-20T04:51:00.000000,11.37745,18.03499,22.00201,2.08107,2.74525,2.39721,5.89008,9.94137,12.91995,1.21485,1.47862,1.7961,0.01038,0.01129,0.01409,0.00723,0.00705,0.00822,0.00996,0.01069,0.01328,0.00714,0.00698,0.00813,27.30999,659.03003,22.8,26.74002,662.79999,193.33591,193.33591,193.33591,1640956.0,1973428.0,1447089.0,16002.91016,21044.28906,20049.76953,11170.38965,13268.98047,11898.23047,18.2666,20.18049,4.99898,0.0,b'\x00\x00\x00',60
